Kit ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Item SKU,Project Name,Reference Number,Ship Date,Ship-to Name,Ship-to Name 2,Ship-to Addr 1,Ship-to Addr 2,Ship-to City,Ship-to State,Ship-to Zip,Ship-to Country,Item SKU,Qty,PO,Order Number,Service Level,IFCAP #,Clin,Comments 1,Delivery Requirements,Shippable,Carrier,LPN,PM,WO #,Acct #,Lot #,Site,KitQty,MultiPack,SI,Persona
Item SKU 20,Project Name,Reference Number,Ship Date,Ship-to Name,Ship-to Name 2,Ship-to Addr 1,Ship-to Addr 2,Ship-to City,Ship-to State,Ship-to Zip,Ship-to Country,Item SKU,Qty,PO,Order Number,Service Level,IFCAP #,Clin,Comments 1,Delivery Requirements,Shippable,Carrier,LPN,PM,WO #,Acct #,Lot #,Site,KitQty,MultiPack,SI,Persona
SO-001,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BFWP,,,,,,, , ,0,,,Dusty Baker,,,,,,, , 
SO-002,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BFWP,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SO-003,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BFWP,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SO-004,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BFWP,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SR-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-002,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-006,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-006,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-007,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-008,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-008,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-005,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGBL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SR-005,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
AO-001,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDN,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AO-002,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDN,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AO-003,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDN,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AO-004,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDN,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AR-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLWL-ADV,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
AR-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBE,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
AR-002,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLWL-ADV,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
AR-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLWL-ADV,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
AR-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBE,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
AR-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLWL-ADV,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
AR-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBE,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-002,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-006,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-006,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-007,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-008,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-008,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-009,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRR-009,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRRL-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT-SRRL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRRL-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRRL-002,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT-SRRL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRRL-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT-SRRL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRRL-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRRL-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BCFT-SRRL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRRL-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SE-001,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SE-002,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SE-003,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SE-004,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AE-001,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT-AE,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AE-002,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT-AE,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AE-003,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT-AE,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
AE-004,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-AMDT-AE,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
RE-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGGU,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-002,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGGU,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGGU,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BGGU,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-006,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLMW,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-006,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BEXB,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-007,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLMW,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-008,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLMW,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-008,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BEXB,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-009,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLMW,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
RE-009,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BEXB,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
K-001,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDW,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
K-002,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDW,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
K-003,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDW,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
K-004,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BLDW,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SRV-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRV-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRV-002,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRV-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRV-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRV-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
SRV-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
ARV-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS-CEL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
ARV-001,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
ARV-002,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS-CEL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
ARV-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS-CEL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
ARV-003,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
ARV-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-BLPS-CEL,,,,,,, , ,0,,,Dusty Baker,,,,,1,, ,
ARV-004,53,1,,USCG production ,kitting production,Connected Config,,Image cage,TX,70001,USA,210-AZBS,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SVDI-001,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BCXC,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SVDI-002,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BCXC,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SVDI-003,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BCXC,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
SVDI-004,53,1,,USCG production ,Non-kitting prodction,Connected Config,,Image cage,TX,70001,USA,210-BCXC,,,,,,, , ,0,,,Dusty Baker,,,,,,, ,
